user_id,trip_id
conductor_1,0_20_20
conductor_2,0_20_30
conductor_3,0_20_40
conductor_4,0_20_50
conductor_5,0_21_00
conductor_6,0_21_10
conductor_7,0_21_20
conductor_8,0_21_30
conductor_9,0_21_40
conductor_10,0_21_50
conductor_11,1000_13_50
conductor_12,1000_14_00
conductor_13,1000_14_20
conductor_14,1000_14_50
conductor_15,1000_15_00
conductor_16,1000_15_10
conductor_17,1000_15_50
conductor_18,1000_16_00
conductor_19,1000_16_10
conductor_20,1000_17_00
conductor_21,1000_17_20
conductor_22,1001_07_20
conductor_23,1001_07_40
conductor_24,1001_08_00
conductor_25,1001_10_00
conductor_26,1001_10_10
conductor_27,1001_10_20
conductor_28,1001_10_30
conductor_29,1001_10_50
conductor_30,1001_11_40
conductor_31,1001_12_00
conductor_32,1001_12_30
conductor_33,1001_13_10
conductor_34,1001_13_40
conductor_35,1001_13_50
conductor_36,1001_14_00
conductor_37,1001_14_20
conductor_38,1001_14_30
conductor_39,1001_14_40
conductor_40,1001_14_50
conductor_41,1001_15_00
conductor_42,1001_15_10
conductor_43,1001_15_20
conductor_44,1001_15_30
conductor_45,1001_15_40
conductor_46,1001_15_50
conductor_47,1001_16_00
conductor_48,1001_16_10
conductor_49,1001_16_20
conductor_50,1001_16_30
conductor_51,1001_16_40
conductor_52,1001_16_50
conductor_53,1001_17_00
conductor_54,1001_17_10
conductor_55,1001_17_20
conductor_56,1001_17_30
conductor_57,1001_17_40
conductor_58,1001_17_50
conductor_59,1001_18_10
conductor_60,1001_18_20
conductor_61,1001_18_30
conductor_62,1001_18_40
conductor_63,1001_18_50
conductor_64,1001_19_00
conductor_65,1001_19_10
conductor_66,1001_19_50
conductor_67,1001_20_20
conductor_68,1001_20_30
conductor_69,1001_21_30
conductor_70,1002_06_00
conductor_71,1002_06_10
conductor_72,1002_06_20
conductor_73,1002_06_30
conductor_74,1002_06_40
conductor_75,1002_06_50
conductor_76,1002_07_00
conductor_77,1002_07_20
conductor_78,1002_07_30
conductor_79,1002_07_40
conductor_80,1002_07_50
conductor_81,1002_08_00
conductor_82,1002_08_10
conductor_83,1002_08_20
conductor_84,1002_08_30
conductor_85,1002_08_40
conductor_86,1002_08_50
conductor_87,1002_09_00
conductor_88,1002_09_10
conductor_89,1002_10_50
conductor_90,1003_06_00
conductor_91,1003_06_10
conductor_92,1003_06_20
conductor_93,1003_06_30
conductor_94,1003_06_40
conductor_95,1003_06_50
conductor_96,1003_07_00
conductor_97,1003_07_10
conductor_98,1003_07_20
conductor_99,1003_07_30
conductor_100,1003_07_40
conductor_101,1003_07_50
conductor_102,1003_08_00
conductor_103,1003_08_20
conductor_104,1003_08_30
conductor_105,1003_08_40
conductor_106,1003_08_50
conductor_107,1003_09_00
conductor_108,1003_09_10
conductor_109,1003_09_20
conductor_110,1003_09_30
conductor_111,1003_09_50
conductor_112,1003_10_00
conductor_113,1003_10_30
conductor_114,1003_10_40
conductor_115,1003_10_50
conductor_116,1003_11_00
conductor_117,1003_11_10
conductor_118,1003_11_20
conductor_119,1003_11_30
conductor_120,1003_11_40
conductor_121,1003_11_50
conductor_122,1003_12_00
conductor_123,1003_12_10
conductor_124,1003_12_20
conductor_125,1003_12_40
conductor_126,1003_12_50
conductor_127,1003_13_00
conductor_128,1003_13_10
conductor_129,1003_13_30
conductor_130,1003_13_40
conductor_131,1003_13_50
conductor_132,1003_14_00
conductor_133,1003_14_10
conductor_134,1003_14_20
conductor_135,1003_14_30
conductor_136,1003_14_40
conductor_137,1003_14_50
conductor_138,1003_15_00
conductor_139,1003_15_10
conductor_140,1003_15_20
conductor_141,1003_15_30
conductor_142,1003_15_40
conductor_143,1003_15_50
conductor_144,1003_16_00
conductor_145,1003_16_10
conductor_146,1003_16_30
conductor_147,1003_16_40
conductor_148,1003_16_50
conductor_149,1003_17_00
conductor_150,1003_17_20
conductor_151,1003_17_30
conductor_152,1003_17_40
conductor_153,1003_17_50
conductor_154,1003_18_00
conductor_155,1003_18_10
conductor_156,1003_18_20
conductor_157,1003_18_30
conductor_158,1003_18_40
conductor_159,1003_18_50
conductor_160,1003_19_00
conductor_161,1003_19_10
conductor_162,1003_19_20
conductor_163,1003_19_30
conductor_164,1003_19_50
conductor_165,1003_20_00
conductor_166,1003_20_10
conductor_167,1003_20_20
conductor_168,1003_20_30
conductor_169,1003_20_50
conductor_170,1003_21_00
conductor_171,1003_21_10
conductor_172,1003_21_20
conductor_173,1003_21_30
conductor_174,1003_21_40
conductor_175,1003_21_50
conductor_176,1004_18_20
conductor_177,1004_18_30
conductor_178,1004_20_00
conductor_179,1004_20_30
conductor_180,1004_20_40
conductor_181,1004_20_50
conductor_182,1004_21_00
conductor_183,1004_21_10
conductor_184,1004_21_20
conductor_185,1004_21_30
conductor_186,1004_21_40
conductor_187,1004_21_50
conductor_188,1006_07_20
conductor_189,1006_07_30
conductor_190,1006_07_40
conductor_191,1006_08_00
conductor_192,1006_08_20
conductor_193,1006_08_50
conductor_194,1006_09_00
conductor_195,1006_09_10
conductor_196,1006_09_20
conductor_197,1006_09_30
conductor_198,1006_09_40
conductor_199,1006_09_50
conductor_200,1006_10_00
conductor_201,1006_10_10
conductor_202,1006_10_20
conductor_203,1006_10_30
conductor_204,1006_10_40
conductor_205,1006_10_50
conductor_206,1006_11_00
conductor_207,1006_11_10
conductor_208,1006_11_20
conductor_209,1006_11_30
