route_id,stop_id,stop_sequence
0,3,0
0,4,1
0,5,2
0,6,3
0,7,4
0,8,5
0,9,6
0,10,7
0,11,8
0,12,9
0,13,10
0,14,11
0,15,12
0,16,13
0,17,14
0,18,15
0,19,16
0,20,17
0,21,18
0,22,19
1,23,0
1,24,1
1,25,2
1,26,3
1,27,4
1,28,5
1,29,6
1,30,7
1,31,8
1,32,9
1,33,10
1,34,11
1,35,12
1,36,13
1,37,14
1,38,15
1,39,16
1,40,17
1,41,18
1,42,19
1,43,20
1,44,21
1,45,22
1,46,23
1,47,24
1,48,25
1,49,26
1,50,27
1,51,28
1,52,29
1,53,30
1,54,31
1,55,32
1,56,33
1,57,34
1,58,35
1,59,36
1,60,37
1,61,38
1,62,39
1,63,40
1,64,41
1,65,42
1,66,43
1,67,44
1,68,45
2,69,0
2,70,1
2,71,2
2,72,3
2,73,4
2,74,5
2,75,6
3,76,0
3,77,1
3,78,2
3,79,3
3,80,4
3,81,5
3,82,6
3,83,7
3,84,8
3,85,9
3,86,10
3,87,11
3,88,12
3,89,13
3,90,14
3,91,15
3,92,16
3,93,17
3,94,18
3,95,19
3,96,20
3,97,21
3,98,22
3,99,23
3,100,24
3,101,25
3,102,26
3,103,27
4,104,0
4,105,1
4,106,2
4,24,3
4,25,4
4,27,5
4,28,6
4,29,7
4,30,8
4,31,9
4,32,10
4,33,11
4,34,12
4,35,13
4,36,14
4,37,15
4,38,16
4,39,17
4,40,18
4,41,19
4,42,20
4,43,21
4,44,22
4,107,23
4,46,24
4,47,25
4,48,26
4,108,27
4,109,28
4,110,29
4,111,30
5,112,0
5,113,1
5,114,2
5,115,3
5,116,4
5,117,5
5,118,6
5,119,7
5,120,8
5,121,9
5,122,10
5,123,11
5,124,12
5,125,13
5,126,14
5,127,15
5,128,16
5,129,17
5,130,18
5,131,19
5,132,20
5,133,21
5,134,22
5,135,23
5,136,24
5,137,25
5,138,26
5,139,27
5,140,28
5,141,29
5,142,30
5,143,31
5,144,32
5,145,33
6,146,0
6,147,1
6,148,2
6,149,3
6,150,4
6,151,5
6,152,6
6,153,7
6,154,8
6,155,9
6,156,10
6,157,11
6,158,12
6,159,13
6,160,14
6,161,15
6,162,16
6,163,17
6,164,18
6,165,19
6,166,20
6,167,21
6,168,22
6,169,23
6,170,24
6,171,25
6,172,26
6,173,27
6,174,28
6,175,29
6,176,30
6,177,31
6,178,32
6,179,33
6,180,34
6,181,35
6,182,36
6,183,37
6,184,38
6,185,39
6,186,40
6,187,41
6,188,42
6,189,43
6,190,44
6,191,45
7,192,0
7,193,1
7,194,2
7,195,3
7,196,4
7,197,5
7,198,6
7,199,7
7,200,8
7,201,9
7,202,10
7,203,11
7,204,12
7,205,13
7,206,14
7,207,15
7,208,16
7,209,17
7,210,18
7,211,19
7,212,20
7,213,21
7,214,22
8,215,0
8,216,1
8,217,2
8,218,3
8,219,4
8,220,5
8,221,6
8,222,7
8,223,8
8,224,9
8,225,10
8,226,11
8,227,12
8,228,13
8,229,14
8,230,15
8,231,16
8,232,17
8,233,18
8,234,19
8,148,20
8,235,21
8,236,22
8,237,23
8,238,24
9,239,0
9,240,1
9,241,2
9,242,3
9,243,4
9,244,5
9,245,6
9,246,7
9,247,8
9,248,9
9,249,10
9,250,11
9,251,12
9,252,13
9,253,14
9,254,15
9,255,16
9,256,17
9,257,18
9,258,19
9,259,20
9,260,21
9,261,22
9,262,23
9,263,24
9,264,25
9,265,26
9,266,27
9,267,28
9,268,29
9,269,30
9,11,31
9,12,32
9,13,33
9,270,34
9,271,35
9,0,36
9,1,37
9,2,38
9,3,39
10,272,0
10,273,1
10,274,2
10,275,3
10,276,4
10,277,5
10,278,6
10,279,7
10,280,8
10,281,9
10,282,10
10,283,11
10,284,12
10,285,13
10,286,14
10,287,15
10,288,16
10,289,17
10,290,18
10,291,19
10,292,20
10,293,21
10,195,22
10,196,23
10,197,24
10,294,25
10,295,26
10,296,27
10,297,28
10,298,29
10,299,30
10,300,31
10,48,32
11,301,0
11,275,1
11,276,2
11,277,3
11,302,4
11,278,5
11,279,6
11,280,7
11,281,8
11,282,9
11,303,10
11,284,11
11,285,12
11,286,13
11,287,14
11,288,15
11,289,16
11,290,17
11,291,18
11,292,19
11,293,20
11,304,21
11,305,22
11,306,23
12,307,0
12,308,1
12,309,2
12,310,3
12,311,4
12,312,5
12,313,6
12,314,7
12,315,8
12,316,9
12,317,10
12,318,11
12,319,12
12,320,13
12,321,14
12,322,15
12,323,16
12,324,17
12,325,18
12,326,19
12,327,20
12,328,21
12,329,22
12,330,23
12,331,24
12,332,25
13,333,0
13,334,1
13,335,2
13,314,3
13,315,4
13,316,5
13,317,6
13,318,7
13,466,8
13,467,9
13,1081,10
13,1082,11
13,1083,12
13,1084,13
13,1085,14
13,1086,15
13,1087,16
13,1088,17
13,337,18
13,338,19
13,339,20
13,340,21
13,341,22
13,342,23
13,343,24
13,344,25
13,345,26
13,346,27
13,347,28
13,348,29
13,349,30
13,350,31
13,351,32
13,352,33
13,353,34
13,354,35
13,355,36
13,356,37
13,357,38
13,358,39
13,359,40
13,360,41
14,361,0
14,362,1
14,1391,2
14,1392,3
14,1393,4
14,560,5
14,561,6
14,562,7
14,563,8
14,564,9
14,565,10
14,566,11
14,567,12
14,1394,13
14,568,14
14,378,15
14,234,16
14,379,17
14,380,18
15,239,0
15,381,1
15,382,2
15,383,3
15,384,4
15,385,5
15,386,6
15,387,7
15,388,8
15,389,9
15,390,10
15,391,11
15,392,12
15,393,13
15,394,14
15,395,15
15,396,16
15,397,17
15,398,18
15,399,19
15,400,20
15,401,21
15,402,22
15,403,23
15,404,24
15,405,25
15,406,26
15,407,27
15,408,28
15,409,29
15,410,30
15,411,31
15,412,32
15,413,33
15,414,34
15,415,35
15,416,36
15,417,37
15,418,38
15,419,39
15,420,40
15,421,41
15,422,42
15,423,43
15,424,44
15,425,45
15,426,46
15,427,47
15,428,48
15,429,49
15,430,50
15,431,51
15,432,52
15,433,53
15,434,54
15,435,55
15,436,56
15,437,57
15,438,58
16,439,0
16,440,1
16,441,2
16,442,3
16,443,4
16,444,5
16,445,6
16,446,7
16,447,8
16,448,9
17,1243,0
17,829,1
17,830,2
17,4267,3
17,832,4
17,833,5
17,834,6
17,835,7
17,836,8
17,837,9
17,3151,10
17,839,11
17,840,12
17,841,13
17,842,14
17,843,15
17,1405,16
17,1406,17
17,1407,18
17,2421,19
17,4144,20
17,2423,21
17,2424,22
17,2425,23
17,2426,24
17,332,25
18,484,0
18,485,1
18,486,2
18,487,3
18,149,4
18,488,5
18,489,6
18,490,7
18,491,8
18,492,9
18,493,10
18,494,11
18,495,12
18,496,13
18,497,14
18,498,15
18,499,16
18,500,17
18,501,18
18,502,19
18,218,20
18,503,21
18,504,22
18,505,23
18,506,24
18,507,25
18,508,26
18,509,27
18,510,28
18,511,29
18,512,30
19,513,0
19,514,1
19,515,2
19,516,3
19,517,4
19,518,5
19,519,6
19,520,7
19,521,8
19,522,9
19,523,10
19,524,11
19,525,12
19,526,13
19,527,14
19,528,15
19,529,16
19,530,17
19,531,18
19,532,19
19,533,20
19,534,21
19,535,22
19,386,23
19,536,24
19,537,25
19,538,26
19,539,27
19,540,28
19,541,29
19,542,30
19,543,31
19,544,32
19,545,33
19,546,34
19,547,35
19,548,36
19,549,37
19,550,38
19,551,39
19,552,40
